combo,groups,M74,M77,M79,M80,M81,M82,M85,M87
302,ABEFHIJL,F,H,E,I,B,A,J,L
303,ABEFHIJK,F,H,E,K,B,A,J,I
304,ABEFGJKL,F,G,E,K,B,A,J,L
305,ABEFGIKL,A,F,E,K,B,I,G,L
306,ABEFGIJL,F,G,E,I,B,A,J,L
307,ABEFGIJK,F,G,E,K,B,A,J,I
308,ABEFGHKL,F,H,E,K,B,A,G,L
309,ABEFGHJL,F,G,H,E,B,A,J,L
310,ABEFGHJK,F,G,H,K,B,A,J,E
311,ABEFGHIL,F,H,E,I,B,A,G,L
312,ABEFGHIK,F,H,E,K,B,A,G,I
313,ABEFGHIJ,F,G,H,I,B,A,J,E
314,ABDHIJKL,D,H,I,K,B,A,J,L
315,ABDGIJKL,D,G,I,K,B,A,J,L
316,ABDGHJKL,D,G,H,K,B,A,J,L
317,ABDGHIKL,D,H,I,K,B,A,G,L
318,ABDGHIJL,D,G,H,I,B,A,J,L
319,ABDGHIJK,D,G,H,K,B,A,J,I
320,ABDFIJKL,D,F,I,K,B,A,J,L
321,ABDFHJKL,D,F,H,K,B,A,J,L
322,ABDFHIKL,D,F,H,K,B,A,I,L
323,ABDFHIJL,D,F,H,I,B,A,J,L
324,ABDFHIJK,D,F,H,K,B,A,J,I
325,ABDFGJKL,D,G,F,K,B,A,J,L
326,ABDFGIKL,D,F,I,K,B,A,G,L
327,ABDFGIJL,D,G,F,I,B,A,J,L
328,ABDFGIJK,D,G,F,K,B,A,J,I
329,ABDFGHKL,D,F,H,K,B,A,G,L
330,ABDFGHJL,D,F,H,J,B,A,G,L
331,ABDFGHJK,D,F,H,K,B,A,G,J
332,ABDFGHIL,D,F,H,I,B,A,G,L
333,ABDFGHIK,D,F,H,K,B,A,G,I
334,ABDFGHIJ,D,F,H,J,B,A,G,I
335,ABDEIJKL,A,D,E,K,B,I,J,L
336,ABDEHJKL,D,H,E,K,B,A,J,L
337,ABDEHIKL,D,H,E,K,B,A,I,L
338,ABDEHIJL,D,H,E,I,B,A,J,L
339,ABDEHIJK,D,H,E,K,B,A,J,I
340,ABDEGJKL,D,G,E,K,B,A,J,L
341,ABDEGIKL,A,D,E,K,B,I,G,L
342,ABDEGIJL,D,G,E,I,B,A,J,L
343,ABDEGIJK,D,G,E,K,B,A,J,I
344,ABDEGHKL,D,H,E,K,B,A,G,L
345,ABDEGHJL,D,G,H,E,B,A,J,L
346,ABDEGHJK,D,G,H,K,B,A,J,E
347,ABDEGHIL,D,H,E,I,B,A,G,L
348,ABDEGHIK,D,H,E,K,B,A,G,I
349,ABDEGHIJ,D,G,H,I,B,A,J,E
350,ABDEFJKL,D,F,E,K,B,A,J,L
351,ABDEFIKL,D,F,E,K,B,A,I,L
352,ABDEFIJL,D,F,E,I,B,A,J,L
353,ABDEFIJK,D,F,E,K,B,A,J,I
354,ABDEFHKL,D,F,H,K,B,A,E,L
355,ABDEFHJL,D,F,H,E,B,A,J,L
356,ABDEFHJK,D,F,H,K,B,A,J,E
357,ABDEFHIL,D,F,H,I,B,A,E,L
358,ABDEFHIK,D,F,H,K,B,A,E,I
359,ABDEFHIJ,D,F,H,I,B,A,J,E
360,ABDEFGKL,D,F,E,K,B,A,G,L
361,ABDEFGJL,D,F,E,J,B,A,G,L
362,ABDEFGJK,D,F,E,K,B,A,G,J
363,ABDEFGIL,D,F,E,I,B,A,G,L
364,ABDEFGIK,D,F,E,K,B,A,G,I
365,ABDEFGIJ,D,F,E,J,B,A,G,I
366,ABDEFGHL,D,F,H,E,B,A,G,L
367,ABDEFGHK,D,F,H,K,B,A,G,E
368,ABDEFGHJ,D,F,H,J,B,A,G,E
369,ABDEFGHI,D,F,H,I,B,A,G,E
370,ABCHIJKL,C,H,I,K,B,A,J,L
371,ABCGIJKL,C,G,I,K,B,A,J,L
372,ABCGHJKL,C,G,H,K,B,A,J,L
373,ABCGHIKL,C,H,I,K,B,A,G,L
374,ABCGHIJL,C,G,H,I,B,A,J,L
375,ABCGHIJK,C,G,H,K,B,A,J,I
376,ABCFIJKL,C,F,I,K,B,A,J,L
377,ABCFHJKL,C,F,H,K,B,A,J,L
378,ABCFHIKL,C,F,H,K,B,A,I,L
379,ABCFHIJL,C,F,H,I,B,A,J,L
380,ABCFHIJK,C,F,H,K,B,A,J,I
381,ABCFGJKL,F,G,C,K,B,A,J,L
382,ABCFGIKL,C,F,I,K,B,A,G,L
383,ABCFGIJL,F,G,C,I,B,A,J,L
384,ABCFGIJK,F,G,C,K,B,A,J,I
385,ABCFGHKL,C,F,H,K,B,A,G,L
386,ABCFGHJL,C,F,H,J,B,A,G,L
387,ABCFGHJK,C,F,H,K,B,A,G,J
388,ABCFGHIL,C,F,H,I,B,A,G,L
389,ABCFGHIK,C,F,H,K,B,A,G,I
390,ABCFGHIJ,C,F,H,J,B,A,G,I
391,ABCEIJKL,A,C,E,K,B,I,J,L
392,ABCEHJKL,C,H,E,K,B,A,J,L
393,ABCEHIKL,C,H,E,K,B,A,I,L
394,ABCEHIJL,C,H,E,I,B,A,J,L
395,ABCEHIJK,C,H,E,K,B,A,J,I
396,ABCEGJKL,C,G,E,K,B,A,J,L
397,ABCEGIKL,A,C,E,K,B,I,G,L
398,ABCEGIJL,C,G,E,I,B,A,J,L
399,ABCEGIJK,C,G,E,K,B,A,J,I
400,ABCEGHKL,C,H,E,K,B,A,G,L
401,ABCEGHJL,C,G,H,E,B,A,J,L
402,ABCEGHJK,C,G,H,K,B,A,J,E
403,ABCEGHIL,C,H,E,I,B,A,G,L
404,ABCEGHIK,C,H,E,K,B,A,G,I
405,ABCEGHIJ,C,G,H,I,B,A,J,E
406,ABCEFJKL,C,F,E,K,B,A,J,L
407,ABCEFIKL,C,F,E,K,B,A,I,L
408,ABCEFIJL,C,F,E,I,B,A,J,L
409,ABCEFIJK,C,F,E,K,B,A,J,I
410,ABCEFHKL,C,F,H,K,B,A,E,L
411,ABCEFHJL,C,F,H,E,B,A,J,L
412,ABCEFHJK,C,F,H,K,B,A,J,E
413,ABCEFHIL,C,F,H,I,B,A,E,L
414,ABCEFHIK,C,F,H,K,B,A,E,I
415,ABCEFHIJ,C,F,H,I,B,A,J,E
416,ABCEFGKL,C,F,E,K,B,A,G,L
417,ABCEFGJL,C,F,E,J,B,A,G,L
418,ABCEFGJK,C,F,E,K,B,A,G,J
419,ABCEFGIL,C,F,E,I,B,A,G,L
420,ABCEFGIK,C,F,E,K,B,A,G,I
421,ABCEFGIJ,C,F,E,J,B,A,G,I
422,ABCEFGHL,C,F,H,E,B,A,G,L
423,ABCEFGHK,C,F,H,K,B,A,G,E
424,ABCEFGHJ,C,F,H,J,B,A,G,E
425,ABCEFGHI,C,F,H,I,B,A,G,E
426,ABCDIJKL,C,D,I,K,B,A,J,L
427,ABCDHJKL,C,D,H,K,B,A,J,L
428,ABCDHIKL,C,D,H,K,B,A,I,L
429,ABCDHIJL,C,D,H,I,B,A,J,L
430,ABCDHIJK,C,D,H,K,B,A,J,I
431,ABCDGJKL,D,G,C,K,B,A,J,L
432,ABCDGIKL,C,D,I,K,B,A,G,L
433,ABCDGIJL,D,G,C,I,B,A,J,L
434,ABCDGIJK,D,G,C,K,B,A,J,I
435,ABCDGHKL,C,D,H,K,B,A,G,L
436,ABCDGHJL,C,D,H,J,B,A,G,L
437,ABCDGHJK,C,D,H,K,B,A,G,J
438,ABCDGHIL,C,D,H,I,B,A,G,L
439,ABCDGHIK,C,D,H,K,B,A,G,I
440,ABCDGHIJ,C,D,H,J,B,A,G,I
441,ABCDFJKL,D,F,C,K,B,A,J,L
442,ABCDFIKL,D,F,C,K,B,A,I,L
443,ABCDFIJL,D,F,C,I,B,A,J,L
444,ABCDFIJK,D,F,C,K,B,A,J,I
